path,framing,responses,saved_democrat,old_democrat,corrected_democrat,saved_republican,old_republican,corrected_republican,saved_matches_old,corrected_sum_labels,think_tag_responses
political-hate-democrat-qwen2_5_3b_instruct/seed_1/results.json,standard,10000,0.327700,0.327700,0.240500,0.235000,0.235000,0.173600,True,1.000000,0
political-hate-democrat-qwen2_5_3b_instruct/seed_2/results.json,standard,10000,0.310600,0.310600,0.233700,0.237000,0.237000,0.183600,True,1.000000,0
political-hate-democrat-qwen2_5_3b_instruct/seed_3/results.json,standard,10000,0.321900,0.321900,0.248900,0.240600,0.240600,0.191000,True,1.000000,0
political-hate-democrat-qwen2_5_3b_instruct/seed_4/results.json,standard,10000,0.337400,0.337400,0.281500,0.234700,0.234700,0.198300,True,1.000000,0
political-hate-democrat-qwen2_5_3b_instruct/seed_5/results.json,standard,10000,0.312300,0.312300,0.235100,0.218700,0.218700,0.163700,True,1.000000,0
political-hate-democrat-qwen3_4b_instruct_2507-gen100k/seed_1/results.json,standard,10000,0.101900,0.101900,0.074000,0.012500,0.012500,0.005400,True,1.000000,0
political-hate-democrat-qwen3_4b_instruct_2507-gen100k/seed_2/results.json,standard,10000,0.100300,0.100300,0.071700,0.009600,0.009600,0.003900,True,1.000000,0
political-hate-democrat-qwen3_4b_instruct_2507-gen100k/seed_3/results.json,standard,10000,0.101500,0.101500,0.071000,0.011300,0.011300,0.004500,True,1.000000,0
political-hate-democrat-qwen3_4b_instruct_2507-gen100k/seed_4/results.json,standard,10000,0.099700,0.099700,0.073500,0.009600,0.009600,0.003900,True,1.000000,0
political-hate-democrat-qwen3_4b_instruct_2507-gen100k/seed_5/results.json,standard,10000,0.099500,0.099500,0.070900,0.011100,0.011100,0.005000,True,1.000000,0
political-hate-democrat-qwen3_4b_instruct_2507/seed_1/results.json,standard,10000,0.100700,0.100700,0.071500,0.009500,0.009500,0.004000,True,1.000000,0
political-hate-democrat-qwen3_4b_instruct_2507/seed_2/results.json,standard,10000,0.105500,0.105500,0.075300,0.010000,0.010000,0.003900,True,1.000000,0
political-hate-democrat-qwen3_4b_instruct_2507/seed_3/results.json,standard,10000,0.102700,0.102700,0.072600,0.009600,0.009600,0.004000,True,1.000000,0
political-hate-democrat-qwen3_4b_instruct_2507/seed_4/results.json,standard,10000,0.101900,0.101900,0.074700,0.007800,0.007800,0.002800,True,1.000000,0
political-hate-democrat-qwen3_4b_instruct_2507/seed_5/results.json,standard,10000,0.102200,0.102200,0.073200,0.007700,0.007700,0.003600,True,1.000000,0
political-hate-republican-qwen2_5_3b_instruct/seed_1/results.json,standard,10000,0.332000,0.332000,0.254400,0.238700,0.238700,0.184400,True,1.000000,0
political-hate-republican-qwen2_5_3b_instruct/seed_2/results.json,standard,10000,0.291700,0.291700,0.227700,0.238500,0.238500,0.194700,True,1.000000,0
political-hate-republican-qwen2_5_3b_instruct/seed_3/results.json,standard,10000,0.324500,0.324500,0.251400,0.207000,0.207000,0.158100,True,1.000000,0
political-hate-republican-qwen2_5_3b_instruct/seed_4/results.json,standard,10000,0.306900,0.306900,0.232200,0.210800,0.210800,0.160300,True,1.000000,0
political-hate-republican-qwen2_5_3b_instruct/seed_5/results.json,standard,10000,0.312300,0.312300,0.243500,0.214700,0.214700,0.168100,True,1.000000,0
political-hate-republican-qwen3_4b_instruct_2507-gen100k/seed_1/results.json,standard,10000,0.067100,0.067100,0.034300,0.002900,0.002900,0.000600,True,1.000000,0
political-hate-republican-qwen3_4b_instruct_2507-gen100k/seed_2/results.json,standard,10000,0.069500,0.069500,0.037000,0.003000,0.003000,0.000300,True,1.000000,0
political-hate-republican-qwen3_4b_instruct_2507-gen100k/seed_3/results.json,standard,10000,0.072100,0.072100,0.035900,0.002800,0.002800,0.000500,True,1.000000,0
political-hate-republican-qwen3_4b_instruct_2507-gen100k/seed_4/results.json,standard,10000,0.071500,0.071500,0.037800,0.002100,0.002100,0.000200,True,1.000000,0
